id,question,generated_answer,latency,Recall@5,Recall@10,MRR,NDCG@10,EM,F1,ROUGE-1,ROUGE-L
9309970269500564_4,آیا اقرار ضمنی به صحت قرارداد می‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد؟,اقرار ضمنی به صحت قرارداد به معنای پذیرش صحت کلی قرارداد نیست. بر اساس [DOC_2]، مجعول بودن قسمتی از یک قرارداد دلیل بر بی‌اعتباری قسمت‌های دیگر آن نیست و اگر خوانده دعوی اثبات اصالت سند را انجام دهد، تنها حکم به معدوم نمودن همان قسمت مجعول صادر می‌شود و قسمت‌های دیگر قرارداد معتبر و نافذ باقی می‌مانند. بنابراین، اقرار ضمنی به صحت قرارداد نمی‌تواند به معنای پذیرش صحت کلی آن در صورت ادعای جعل قسمتی از آن تلقی شود.,6.18351149559021,1,1,1.0,1.0,0,0.36,0.0,0.0
9309970955700304_6,چرا آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد؟,آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد زیرا مطابق تبصره 2 ماده 10 قانون تشکیلات و آیین دادرسی دیوان عدالت اداری، این آراء و تصمیمات به‌طور خاص از شمول اعتراض در دیوان خارج شده‌اند. بنابراین، دعوی خواهان قابلیت استماع نداشته و نسبت به آن قرار رد صادر می‌گردد [DOC_1].,4.07250452041626,1,1,1.0,1.0,0,0.7708,0.6667,0.6667
920997022481255_3,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما چه مجازاتی دارد؟,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما به موجب قانون کار جرم بوده و قابل مجازات است [DOC_1].,3.4190893173217773,1,1,1.0,1.0,0,0.7308,0.0,0.0
9409970221601258_23,آیا در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده می‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند؟,در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، وجه چک صادره بابت تضمین اقساط وام، توسط شرکت وام‌دهنده قابل مطالبه نیست [DOC_1].,3.5945000648498535,1,1,1.0,1.0,0,0.8077,0.0,0.0
9109970220301629_21,آیا تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده می‌تواند مانع از الزام فروشنده به انجام تعهدات قراردادی شود؟,تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده، مانع از الزام فروشنده به انجام تعهدات قراردادی نمی‌شود. به عبارت دیگر، فروشنده همچنان ملزم به انجام تعهدات خود از جمله اخذ مجوزها و انتقال رسمی مبیع به خریدار است، حتی اگر ملک به شخص دیگری منتقل شده باشد [DOC_1].,4.045929193496704,1,1,1.0,1.0,0,0.5263,0.0,0.0
9409970220300172_12,چگونه می‌توان عدم وقوع بیع را در دعاوی حقوقی اثبات کرد و چه اصولی در این زمینه وجود دارد؟,"برای اثبات عدم وقوع بیع در دعاوی حقوقی، اصل صحت به عنوان یک اصل عملیه مورد استفاده قرار می‌گیرد. این اصل زمانی معتبر است که دلیلی برای خدشه در عقد وجود نداشته باشد و اصل عقد از طریق وجود اصالت سندی که موید بیع است، محرز گردد. بنابراین، در صورت ادعای صوری بودن بیع، اگر دلیلی برای رد این ادعا وجود نداشته باشد، اصل صحت جریان پیدا می‌کند و می‌تواند به عنوان دلیلی برای اثبات وقوع بیع مورد استناد قرار گیرد [DOC_1]. 

به طور کلی، در دعاوی حقوقی، بار اثبات بر عهده مدعی است و او باید دلایل کافی برای اثبات ادعای خود ارائه دهد [DOC_2].",5.569116830825806,0,0,0.0,0.0,0,0.2657,0.0,0.0
9909970908700455_8,شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 چیست و چگونه رضایت شکات خصوصی بر وضعیت متهم تأثیر می‌گذارد؟,"شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 به این صورت است که اظهارات شکات خصوصی و رضایت آنان نقش مهمی در تعیین وضعیت متهم دارند. اگر شکات خصوصی رضایت داشته باشند و موارد اتهامی شخصی باشند، متهم محارب محسوب نخواهد شد [DOC_1]. همچنین، عنصر معنوی جرم محاربه باید محرز و مسلم باشد و در صورت وجود شبهه و تردید، تحقق جرم محاربه با مشکل مواجه خواهد شد [DOC_2]. 

به طور کلی، رضایت شکات خصوصی می‌تواند به عنوان عاملی مؤثر در عدم تحقق محاربه و وضعیت متهم در نظر گرفته شود.",4.965996980667114,1,1,1.0,1.0,0,0.5399,0.5,0.5
9409970222601433_8,بار اثبات در مطالبه اجرت المثل ایام زوجیت به چه صورت است و چه عواملی در تعیین قصد عدم تبرع زوجه تأثیرگذارند؟,"بار اثبات در مطالبه اجرت المثل ایام زوجیت به این صورت است که زوجه باید دو امر را اثبات کند: اول، دستور زوج به انجام کار و دوم، عدم تبرع زوجه در انجام کارهای مذکور. بنابراین، زوجه جهت مطالبه اجرت المثل می‌بایست دلیلی برای اثبات این امور ارائه کند [DOC_4].

عوامل تأثیرگذار در تعیین قصد عدم تبرع زوجه شامل عرف و سنت‌های زندگی ایرانی است. به طور کلی، اصل بر تبرعی بودن اعمال زوجه است و زوجه باید خلاف این فرض را اثبات کند [DOC_2][DOC_5]. همچنین، اگر زوجه خواهان اجرت المثل باشد، زوج باید قصد تبرع را اثبات نماید [DOC_7].",4.442825794219971,1,1,1.0,1.0,0,0.4238,0.0,0.0
9309970269701629_20,ادغام محکومیت‌های قطعی متعدد در چه شرایطی امکان‌پذیر است؟,اطلاعات کافی در اسناد یافت نشد.,3.1146328449249268,0,0,0.0,0.0,0,0.125,0.0,0.0
9409972518501176_6,نفقه در دوران عقد چه شرایطی دارد و آیا زوج موظف به پرداخت آن است اگر زوجه در منزل پدرش ساکن باشد؟,نفقه در دوران عقد به طور کلی بر عهده زوج نیست، مگر اینکه زوجین خلاف آن توافق نمایند. به ویژه اگر زوجه تا ۲ سال پس از عقد در منزل پدرش ساکن باشد، طبق عرف و وجود فتوا، نفقه بر عهده زوج نخواهد بود [DOC_1]. بنابراین، در این شرایط، زوج موظف به پرداخت نفقه نیست.,4.09227442741394,1,1,1.0,1.0,0,0.5517,0.0,0.0
9509970955602158_19,آیا قراردادهای پیمانکاری که پیمانکار خود کار را انجام می‌دهد و از کارگر استفاده نمی‌کند، از کسر حق بیمه معاف هستند؟,اطلاعات کافی در اسناد یافت نشد.,3.1285533905029297,0,0,0.0,0.0,0,0.0,0.0,0.0
9509970001000249_8,حق حبس چگونه بر دعوای الزام به ایفای تعهدات قراردادی تأثیر می‌گذارد؟,حق حبس بر دعوای الزام به ایفای تعهدات قراردادی تأثیرگذار است به‌گونه‌ای که الزام صاحب حق حبس به ایفای تعهدات قراردادی، منوط به انجام تعهد طرف مقابل به نحو کامل می‌باشد. به عبارت دیگر، اگر یکی از طرفین قرارداد دارای حق حبس باشد، او می‌تواند از ایفای تعهدات خود تا زمانی که طرف مقابل تعهداتش را به‌طور کامل انجام ندهد، خودداری کند [DOC_1].,4.121574640274048,1,1,1.0,1.0,0,0.6496,0.0,0.0
9309970001000233_1,شرایط شکلی دعوای اعسار چیست و عدم پیوست استشهادیه به دادخواست چه تأثیری بر روند دعوا دارد؟,"شرایط شکلی دعوای اعسار شامل رعایت شرایط مقرر قانونی در استشهادیه پیوست دادخواست اعسار است. عدم رعایت این شرایط موجب صدور قرار رد دعوی به دلیل غیر قابل استماع بودن آن می‌شود، اما این امر از موارد صدور حکم به بطلان دعوی محسوب نمی‌گردد [DOC_1]. 

بنابراین، عدم پیوست استشهادیه به دادخواست می‌تواند تأثیر منفی بر روند دعوا داشته باشد و ممکن است منجر به رد دعوی گردد، مگر اینکه دادگاه شهادت شهود را استماع کند که در این صورت دعوای اعسار به صدور رأی ماهوی منجر خواهد شد [DOC_2].",4.841580152511597,0,0,0.0,0.0,0,0.4667,0.0,0.0
9509970956201430_20,بار اثبات رابطه کارگری و کارفرمایی به عهده کیست و چه مدارکی برای اثبات این رابطه لازم است؟,بار اثبات رابطه کارگری و کارفرمایی به عهده کارگر است. کارگر باید دلایل و مدارکی دال بر وجود رابطه کار فیمابین طرفین، میزان مزد و مزایای بالاتر از حداقل قانونی و میزان سابقه کار در کارگاه را ارائه دهد [DOC_1][DOC_4].,4.999225616455078,1,1,1.0,1.0,0,0.8293,0.0,0.0
