id,question,generated_answer,latency,Recall@5,Recall@10,MRR,NDCG@10,EM,F1,ROUGE-1,ROUGE-L
9309970269500564_4,آیا اقرار ضمنی به صحت قرارداد می‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد؟,بله، اقرار ضمنی به صحت قرارداد می‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد. در صورتی که ادعای جعل بر قسمتی از قرارداد مطرح شود، این خود نشان‌دهنده پذیرش قرارداد در حالت کلی است، زیرا تا زمانی که قرارداد وجود نداشته باشد، ادعای جعل بر قسمتی از آن بی‌معنا خواهد بود. بنابراین، شرایط اساسی صحت معامله در پرونده مربوط به مبایعه‌نامه فاقد خدشه می‌باشد [DOC_1].,11.225907564163208,1,1,1.0,1.0,0,0.4516,0.0,0.0
9309970955700304_6,چرا آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد؟,آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان عدالت اداری نمی‌باشد، زیرا مطابق تبصره 2 ماده 10 قانون تشکیلات و آیین دادرسی دیوان عدالت اداری، این آراء و تصمیمات به‌طور خاص از شمول رسیدگی در دیوان خارج شده‌اند. به همین دلیل، دعوی خواهان قابلیت استماع نداشته و نسبت به آن قرار رد صادر می‌گردد [DOC_1].,11.024478197097778,1,1,1.0,1.0,0,0.7,0.6667,0.6667
920997022481255_3,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما چه مجازاتی دارد؟,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما به موجب قانون کار جرم بوده و قابل مجازات است. بر اساس ماده 180 قانون کار، متهم به استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما ممکن است به پرداخت جزای نقدی محکوم شود. به عنوان مثال، در یک مورد خاص، متهم به پرداخت پنج میلیون ریال جزای نقدی محکوم شده است [DOC_1].,10.464493989944458,1,1,1.0,1.0,0,0.5625,0.0,0.0
9409970221601258_23,آیا در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده می‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند؟,در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده نمی‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند. این موضوع در رأی دادگاه بدوی نیز تأیید شده است که به موجب آن، شرکت خواهان استحقاق دریافت وجوه مندرج در چک‌ها را ندارد [DOC_1].,11.213046550750732,1,1,1.0,1.0,0,0.6579,0.0,0.0
9109970220301629_21,آیا تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده می‌تواند مانع از الزام فروشنده به انجام تعهدات قراردادی شود؟,تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده، مانع از الزام او به انجام تعهدات قراردادی در مقابل خریدار نمی‌باشد. بنابراین، فروشنده موظف است به تعهدات خود عمل کند و این موضوع در دادنامه شماره [CASE_ID_ba565b66] مورخ 27/9/91 نیز تأکید شده است [DOC_1].,10.561845064163208,1,1,1.0,1.0,0,0.6761,0.0,0.0
9409970220300172_12,چگونه می‌توان عدم وقوع بیع را در دعاوی حقوقی اثبات کرد و چه اصولی در این زمینه وجود دارد؟,اطلاعات کافی در اسناد یافت نشد.,9.75533938407898,0,0,0.0,0.0,0,0.0465,0.0,0.0
9909970908700455_8,شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 چیست و چگونه رضایت شکات خصوصی بر وضعیت متهم تأثیر می‌گذارد؟,"شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 به این صورت است که محاربه عبارت است از کشیدن سلاح به قصد جان، مال یا ناموس مردم یا ارعاب آنها به نحوی که موجب ناامنی در محیط گردد. اگر کسی با انگیزه شخصی به سوی یک یا چند شخص خاص سلاح بکشد و عمل او جنبه عمومی نداشته باشد، محارب محسوب نمی‌گردد [DOC_2][DOC_4].

رضایت شکات خصوصی نیز تأثیر قابل توجهی بر وضعیت متهم دارد. به این معنا که با توجه به اظهارات شکات و رضایت آنان، اگر موارد اتهامی شخصی و در مکان‌ها و زمان‌های متعدد باشد، متهم ممکن است محارب محسوب نشود [DOC_1][DOC_2]. بنابراین، رضایت شکات می‌تواند به عنوان عاملی در عدم تحقق محاربه و تأثیر بر وضعیت متهم در نظر گرفته شود.",12.397042512893677,1,1,1.0,1.0,0,0.5436,0.3333,0.3333
9409970222601433_8,بار اثبات در مطالبه اجرت المثل ایام زوجیت به چه صورت است و چه عواملی در تعیین قصد عدم تبرع زوجه تأثیرگذارند؟,"بار اثبات در مطالبه اجرت المثل ایام زوجیت به این صورت است که اصل بر عدم قصد تبرع زوجه در خصوص کارهایی است که در دوران زندگی مشترک انجام داده‌است. به عبارت دیگر، زوجه مستحق دریافت اجرت المثل است و زوج باید قصد تبرع وی را ثابت کند [DOC_3].

عوامل تأثیرگذار در تعیین قصد عدم تبرع زوجه شامل موارد زیر است:

1. **انجام کارها به دستور زوج**: زوجه باید نشان دهد که کارهایی که انجام داده، به دستور زوج بوده است [DOC_4].
2. **عدم تعلق کارها به عهده زوجه**: کارهایی که زوجه مدعی انجام و مطالبه اجرتش می‌باشد، باید شرعاً به عهده وی نباشد [DOC_4].
3. **اجرت المثل در عرف**: کارهایی که زوجه انجام داده، باید در عرف برای این نوع کارها اجرت المثل داشته باشد [DOC_4].
4. **قصد عدم تبرع**: زوجه باید اثبات کند که کارهای خانه‌داری را با قصد عدم تبرع انجام داده است [DOC_4].

به طور کلی، بار اثبات عدم تبرع بر عهده زوجه است و او باید با ارائه قرائن و امارات مؤثر، این موضوع را به اثبات برساند [DOC_5].",12.936538934707642,0,0,0.0,0.0,0,0.3467,0.0,0.0
9309970269701629_20,ادغام محکومیت‌های قطعی متعدد در چه شرایطی امکان‌پذیر است؟,"ادغام محکومیت‌های قطعی متعدد در شرایط زیر امکان‌پذیر است:

1. **جرایم مشابه:** در صورتی که محکومیت‌ها مربوط به جرایم تعزیری مشابه باشند، دادگاه می‌تواند با اعمال ماده 47 قانون مجازات اسلامی، این محکومیت‌ها را ادغام کند و سپس با اعمال ماده 134 قانون مجازات اسلامی، اقدام به ادغام محکومیت‌های متعدد به جهت ارتکاب جرایم مشابه و غیر مشابه و اجرای مجازات اشد نماید [DOC_1].

2. **به نفع متهم:** ادغام محکومیت‌های قطعی متعدد در جرایم غیرمشابه که قبل از تصویب قانون آیین دادرسی کیفری مصوب 1392 صادر شده‌اند، منوط به این است که این ادغام به نفع متهم باشد [DOC_2].

3. **شرایط قانونی:** برای اعمال مقررات تجمیع احکام، باید شرایط خاصی از جمله وجود محکومیت‌های قطعی دیگر و شمول موضوع احکام متعدد در مقررات تعدد جرم رعایت شود. همچنین، مجازات قابل اجرای موضوع رأی واحد باید از مجموع مجازات‌های علیحده کمتر باشد [DOC_6].

بنابراین، ادغام محکومیت‌ها تحت شرایط خاص و با رعایت قوانین مربوطه امکان‌پذیر است.",6.959658861160278,1,1,0.3333333333333333,0.5,0,0.0848,0.0,0.0
9409972518501176_6,نفقه در دوران عقد چه شرایطی دارد و آیا زوج موظف به پرداخت آن است اگر زوجه در منزل پدرش ساکن باشد؟,در دوران عقد، نفقه بر عهده زوج نیست، به ویژه اگر زوجه در منزل پدرش ساکن باشد و هیچ توافقی مبنی بر پرداخت نفقه از سوی زوج در این مدت وجود نداشته باشد. بر اساس عرف و فتاوی، در چنین شرایطی، زوج موظف به پرداخت نفقه نمی‌باشد [DOC_1]. همچنین، در مواردی که زوجه به دلیل عدم تمکین از زوج، نفقه را مطالبه کند، اگر زوج ادعایی مبنی بر پرداخت نفقه داشته باشد، باید دلایل و مدارک معتبر ارائه دهد که در غیر این صورت، نفقه به زوجه تعلق نمی‌گیرد [DOC_2] و [DOC_3].,5.888883113861084,1,1,1.0,1.0,0,0.2742,0.0,0.0
