id,question,generated_answer,latency,Recall@5,Recall@10,MRR,NDCG@10,EM,F1,ROUGE-1,ROUGE-L
9309970269500564_4,آیا اقرار ضمنی به صحت قرارداد می‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد؟,اطلاعات کافی در اسناد یافت نشد.,5.549234867095947,1,1,1.0,1.0,0,0.0741,0.0,0.0
9309970955700304_6,چرا آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد؟,آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد، به دلیل عدم وجود مرجعیت عام در رسیدگی به تظلمات و عدم قطعیت آراء مراجعی که به حکم قانون تصمیمات آنها قطعی است. این موضوع در [DOC_6] ذکر شده است.,5.137144327163696,1,1,1.0,1.0,0,0.4524,0.0,0.0
920997022481255_3,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما چه مجازاتی دارد؟,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما به موجب قانون کار جرم بوده و قابل مجازات است.,4.258121728897095,1,1,1.0,1.0,0,0.7843,0.0,0.0
9409970221601258_23,آیا در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده می‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند؟,در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده می‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند. این موضوع در [DOC_1] ذکر شده است.,3.994420289993286,1,1,1.0,1.0,0,0.8276,0.0,0.0
9109970220301629_21,آیا تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده می‌تواند مانع از الزام فروشنده به انجام تعهدات قراردادی شود؟,بله، تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده می‌تواند مانع از الزام فروشنده به انجام تعهدات قراردادی شود. این موضوع در [DOC_1] ذکر شده است که مانع از رسیدگی به دعوی الزام فروشنده به انجام تعهدات قراردادی اخذ مجوزها و انتقال رسمی مبیع در مقابل خریدار نمی‌شود.,5.2234251499176025,1,1,1.0,1.0,0,0.5526,0.0,0.0
9409970220300172_12,چگونه می‌توان عدم وقوع بیع را در دعاوی حقوقی اثبات کرد و چه اصولی در این زمینه وجود دارد؟,"برای اثبات عدم وقوع بیع در دعاوی حقوقی، می‌توان از اصول زیر استفاده کرد:

1. اصل صحت جریان: این اصل می‌گوید که اگر بیع وجود نداشته باشد، از جمله عدم وقوع بیع، اصول حاکم بر موضوع از جمله اصل صحت جریان پیدا می‌کند. در این صورت، دادگاه بدوی پرونده کلاسه *تصمیم نهایی شماره * را در نظر گرفته است.

2. اصل توان مالی: این اصل می‌گوید که مدعی ورشکستگی باید دلایل کافی برای اثبات ادعای خود به محکمه ارائه دهد. در این مورد، می‌توان از این اصل استفاده کرد تا اثبات عدم وقوع بیع را در دعاوی ورشکستگی انجام دهد.

3. اصل تاریخ سند: این اصل می‌گوید که تاریخ سندرسمی برای اصحاب دعوی و هم برای اشخاص ثالث معتبر است. در این مورد، می‌توان از این اصل استفاده کرد تا تاریخ سندرسمی بیع را در دعاوی حقوقی اثبات کند.

4. اصل تاریخ سندعادی: این اصل می‌گوید که تاریخ سندعادی برای اشخاص ثالث معتبر نمی‌باشد. در این مورد، می‌توان از این اصل استفاده کرد تا تاریخ سندعادی بیع را در دعاوی حقوقی اثبات کند.

5. اصل تاریخ سندرسمی: این اصل می‌گوید که تاریخ سندرسمی برای اصحاب دعوی و هم برای اشخاص ثالث معتبر است. در این مورد، می‌توان از این اصل استفاده کرد تا تاریخ سندرسمی بیع را در دعاوی حقوقی اثبات کند.

6. اصل تاریخ سندعادی: این اصل می‌گوید که تاریخ سندعادی برای اشخاص ثالث معتبر نمی‌باشد. در این مورد، می‌توان از این اصل استفاده کرد تا تاریخ سندعادی بیع را در دعاوی حقوقی اثبات کند.

7. اصل تاریخ سندرسمی: این اصل می‌گوید که تاریخ سندرسمی برای اصحاب دعوی و هم برای اشخاص ثالث معتبر است. در این مورد، می‌توان از این اصل استفاده کرد تا تاریخ سندرسمی بیع را در دعاوی حقوقی اثبات کند.

8. اصل تاریخ سندعادی: این اصل می‌گوید که تاریخ سندعادی برای اشخاص ثالث معتبر نمی‌باشد. در این مورد، می‌توان از این اصل استفاده کرد تا تاریخ سندعادی بیع را در دعاوی حقوقی اثبات کند.

9. اصل تاریخ سندرسمی: این اصل می‌گوید که تاریخ سندرسمی برای اصحاب دعوی و هم برای اشخاص ثالث معتبر است. در این مورد، می‌توان از این اصل استفاده کرد تا تاریخ سندرسمی بیع را در دعاوی حقوقی اثبات کند.

10. اصل تاریخ سندعادی: این اصل می‌گوید که تار",15.65306043624878,0,0,0.0,0.0,0,0.1139,0.0,0.0
9909970908700455_8,شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 چیست و چگونه رضایت شکات خصوصی بر وضعیت متهم تأثیر می‌گذارد؟,"شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 به ترتیب زیر است:

1. شرایط تحقق محاربه با توجه به اظهارات شکات خصوصی و رضایت آنان و شخصی بودن موارد اتهامی در مکان‌ها و زمان‌های متعدد، موضوع مشمول ماده 279 قانون مجازات اسلامی 1392 می‌باشد و متهم محارب محسوب نخواهد شد. رأی دادگاه بدوی پرونده کلاسه *تصمیم نهایی شماره *.

2. عنصر معنوی جرم محاربه محرز و مسلم نیست و تحقق شرایط مندرج در ماده 279 قانون مجازات اسلامی در محقق شدن جرم محاربه که از جرایم مشروط و مقید می‌باشد. حداقل با شبهه و تردید جدی مواجه است. که محل جریان ماده 120 از قانون مجازات اسلامی خواهد بود. بنابراین با استناد به بند 4 شق ب ماده 469 ق.

3. با توجه به میزان و شدت و تعداد بزه‌های متهم دو بزه محاربه و افساد فی الارض از نظر این بازپرسی مستندا به مواد 279 و 282 و286 قانون مجازات اسلامی به متهم محرز و منتسب است. لذا قرار جلب به دادرسی متهم صادر و اعلام می‌گردد. درخصوص اتهام اقای م. ر.

4. شرط تحقق محاربه جهت تحقق جرم محاربه لازم است که استفاده متهم از سلاح به قصد ترساندن مردم باشد و اگر این قصد از عمل وی استنباط نگردد نمی توان وی را به محاربه محکوم نمود. رأی خلاصه جریان پرونده برابر کیفرخواست صادره از دادسرای ویژه امور جنایی شیراز و محتویات اوراق پرونده آقایان ک.

5. شرایط تحقق محاربه راهزنی و سرقت مسلحانه موضوع ماده 281 قانون مجازات اسلامی جرم مقید به نتیجه است، به نحوی که ارتکاب بزه می بایست موجب سلب اسایش مردم و راه‌ها شود؛ بنابراین تحقق نتیجه مزبور و قصد خاص متهم می بایست احراز گردد و الا وقوع محاربه منتفی خواهد بود. رأی شعبه دیوان عالی کشور.

6. محاربه از طریق تحریق اموال عمومی احراز محاربه از طریق احراق، موضوع تبصره ذیل ماده 675 قانون مجازات اسلامی 1375 مستلزم احراز قصد مقابله با نظام حکومت اسلامی می‌باشد و درصورتی که این قصد محل تردید و شبهه باشد، تحقق محاربه منتفی است و موضوع می‌تواند مشمول عنوان مجرمانه خود ماده 675 قانون یاد شده قرار گیرد. رأی شعبه دیوان عالی کشور فرجام خواه: ح. ب. به وکالت از ی. پ. ر. ک. فرزند ص. متولد 1360.

7. اثبات محاربه وجود ادله و گزارشهای شوراهای اسلامی چندین روستا مبنی بر اینکه رفتار متهمان رعب و وحشت عمومی ایجاد کرده‌است، می",13.600625991821289,1,1,1.0,1.0,0,0.2004,0.16,0.16
9409970222601433_8,بار اثبات در مطالبه اجرت المثل ایام زوجیت به چه صورت است و چه عواملی در تعیین قصد عدم تبرع زوجه تأثیرگذارند؟,"بار اثبات در مطالبه اجرت المثل ایام زوجیت به دو صورت اصلی است:

1. **اثبات دستور زوجه به انجام کارها**: این شامل اثبات که زوجه دستور داده است که کارهایی را در ایام زوجیت انجام دهد.

2. **اثبات عدم تبرع زوجه**: این شامل اثبات که زوجه در انجام کارهای مذکور، قصد عدم تبرع داشته است.

**عوامل تأثیرگذار در تعیین قصد عدم تبرع زوجه:**

1. **عمر زوجیت**: این عامل مهم است و اشاره به عرف و سنت‌های زندگی ایرانی دارد. شرط بنایی ارتکازی از زمان شروع زوجیت و ظهور عرفی، قصد بر تبرع است و خلاف این فرض باید توسط زوجه به اثبات برسد.

2. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

3. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

4. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

5. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

6. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

7. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

8. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

9. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

10. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

11. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

12. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

13. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جامعه و اصل بر تبرعی بودن اعمال زوجه دارد.

14. **عمر زوج**: در مطالبه اجرت المثل ایام زوجیت، این عامل مهم است و اشاره به عرف جام",14.67114806175232,1,1,1.0,1.0,0,0.1446,0.0,0.0
9309970269701629_20,ادغام محکومیت‌های قطعی متعدد در چه شرایطی امکان‌پذیر است؟,اطلاعات کافی در اسناد یافت نشد.,4.062474012374878,0,0,0.0,0.0,0,0.125,0.0,0.0
9409972518501176_6,نفقه در دوران عقد چه شرایطی دارد و آیا زوج موظف به پرداخت آن است اگر زوجه در منزل پدرش ساکن باشد؟,نفقه در دوران عقد اگر از زمان عقد ازدواج قرار بر این باشد که زوجه تا 2 سال در منزل پدرش ساکن باشد و بعد از آن زندگی مشترک را شروع کنند، در این مدت طبق عرف و وجود فتوا، نفقه بر عهده زوج نیست مگر آنکه زوجین خلاف آن‌را توافق نمایند.,4.895909070968628,1,1,1.0,1.0,0,0.619,0.0,0.0
