id,question,generated_answer,latency,Recall@5,Recall@10,MRR,NDCG@10,EM,F1,ROUGE-1,ROUGE-L
9309970269500564_4,آیا اقرار ضمنی به صحت قرارداد می‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد؟,بله، اقرار ضمنی به صحت قرارداد می‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد. این موضوع در [DOC_5] ذکر شده است.,4.168655872344971,1,1,1.0,1.0,0,0.8571,0.0,0.0
9309970955700304_6,چرا آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد؟,آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد، به دلیل عدم وجود صلاحیت مراجع قضایی در رسیدگی به دعاوی واحدهای دولتی. در مورد این موضوع، در [DOC_2] ذکر شده است که مراجع قضایی از شمول مردم خارج و به اشخاص حقیقی یا حقوقی حقوقی خصوصی اطلاق می‌شود و شکایات و اعتراضات واحدهای دولتی در موارد اعتراض به تصمیمات و اقدامات موضوع صلاحیت ماده 10 قانون تشکیلات و آیین دادرسی دیوان عدالت اداری در هیچ مورد قابل طرح و رسیدگی در شعب دیوان عدالت اداری نمی‌باشد.,4.946708679199219,1,1,1.0,1.0,0,0.4275,0.8,0.8
920997022481255_3,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما چه مجازاتی دارد؟,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما به موجب قانون کار جرم بوده و قابل مجازات است.,2.420980215072632,1,1,1.0,1.0,0,0.7843,0.0,0.0
9409970221601258_23,آیا در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده می‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند؟,,3.3028578758239746,1,1,1.0,1.0,0,0.0,0.0,0.0
9109970220301629_21,آیا تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده می‌تواند مانع از الزام فروشنده به انجام تعهدات قراردادی شود؟,,3.099879741668701,1,1,0.2,0.38685280723454163,0,0.0,0.0,0.0
9409970220300172_12,چگونه می‌توان عدم وقوع بیع را در دعاوی حقوقی اثبات کرد و چه اصولی در این زمینه وجود دارد؟,,3.221545934677124,0,0,0.0,0.0,0,0.0,0.0,0.0
9909970908700455_8,شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 چیست و چگونه رضایت شکات خصوصی بر وضعیت متهم تأثیر می‌گذارد؟,,3.2951431274414062,1,1,1.0,1.0,0,0.0,0.0,0.0
9409970222601433_8,بار اثبات در مطالبه اجرت المثل ایام زوجیت به چه صورت است و چه عواملی در تعیین قصد عدم تبرع زوجه تأثیرگذارند؟,,3.160341262817383,0,0,0.0,0.0,0,0.0,0.0,0.0
9309970269701629_20,ادغام محکومیت‌های قطعی متعدد در چه شرایطی امکان‌پذیر است؟,ادغام محکومیت‌های قطعی متعدد در شرایطی امکان‌پذیر است که محکوم‌علیه دارای محکومیت قطعی دیگری است و موضوع احکام متعدد محکوم‌علیه در شمول مقررات تعدد جرم باشد. این امر به تأیید شعبه 48 دیوان عالی کشور می‌رسد.,3.2346105575561523,1,1,0.25,0.43067655807339306,0,0.2174,0.0,0.0
9409972518501176_6,نفقه در دوران عقد چه شرایطی دارد و آیا زوج موظف به پرداخت آن است اگر زوجه در منزل پدرش ساکن باشد؟,,3.052678346633911,1,1,1.0,1.0,0,0.0,0.0,0.0
