id,question,generated_answer,latency,Recall@5,Recall@10,MRR,NDCG@10,EM,F1,ROUGE-1,ROUGE-L
9309970269500564_4,آیا اقرار ضمنی به صحت قرارداد می‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد؟,بله، اقرار ضمنی به صحت قرارداد می‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد. به عبارت دیگر، اگر ادعای جعل بر قسمتی از قرارداد مطرح شود، این خود نشان‌دهنده پذیرش قرارداد در حالت کلی است، زیرا تا زمانی که قرارداد وجود نداشته باشد، ادعای جعل بر قسمتی از آن بی‌معنا خواهد بود. بنابراین، شرایط اساسی صحت معامله در پرونده مربوط به مبایعه‌نامه فاقد خدشه می‌باشد [DOC_1].,3.650721788406372,1,1,1.0,1.0,0,0.4468,0.0,0.0
9309970955700304_6,چرا آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد؟,آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد زیرا مطابق تبصره 2 ماده 10 قانون تشکیلات و آیین دادرسی دیوان عدالت اداری، این آراء و تصمیمات به‌طور خاص از شمول اعتراضات در دیوان خارج شده‌اند. به همین دلیل، دعوی خواهان قابلیت استماع نداشته و نسبت به آن قرار رد صادر می‌گردد [DOC_1].,2.8211677074432373,1,1,1.0,1.0,0,0.7347,0.6667,0.6667
920997022481255_3,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما چه مجازاتی دارد؟,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما به موجب قانون کار جرم بوده و قابل مجازات است. در این خصوص، دادگاه به استناد ماده 180 قانون کار، متهم را به پرداخت پنج میلیون ریال جزای نقدی محکوم کرده است [DOC_1].,2.7166590690612793,1,1,1.0,1.0,0,0.7297,0.0,0.0
9409970221601258_23,آیا در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده می‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند؟,در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده نمی‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند. این موضوع در رأی دادگاه بدوی نیز تأیید شده است که در صورت عدم وجود بدهی، شرکت خواهان استحقاق دریافت وجوه مندرج در چک‌ها را ندارد [DOC_1].,2.920699119567871,1,1,1.0,1.0,0,0.641,0.0,0.0
9109970220301629_21,آیا تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده می‌تواند مانع از الزام فروشنده به انجام تعهدات قراردادی شود؟,تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده مانع از الزام او به انجام تعهدات قراردادی در مقابل خریدار نمی‌باشد. بنابراین، فروشنده همچنان ملزم به انجام تعهدات خود است و دادگاه مکلف به رسیدگی و اظهارنظر در ماهیت و فصل خصومت است [DOC_5].,3.3775880336761475,1,1,0.2,0.38685280723454163,0,0.6479,0.0,0.0
9409970220300172_12,چگونه می‌توان عدم وقوع بیع را در دعاوی حقوقی اثبات کرد و چه اصولی در این زمینه وجود دارد؟,اطلاعات کافی در اسناد یافت نشد.,2.0242018699645996,0,0,0.0,0.0,0,0.0465,0.0,0.0
9909970908700455_8,شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 چیست و چگونه رضایت شکات خصوصی بر وضعیت متهم تأثیر می‌گذارد؟,شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 به این صورت است که اگر کسی با انگیزه شخصی به سوی یک یا چند شخص خاص سلاح بکشد و عمل او جنبه عمومی نداشته باشد، محارب محسوب نمی‌گردد. همچنین، رضایت شکات خصوصی و اظهارات آنان در پرونده تأثیر بسزایی بر وضعیت متهم دارد. به عبارت دیگر، اگر شکات خصوصی رضایت خود را اعلام کنند و موارد اتهامی شخصی باشد، این موضوع می‌تواند موجب عدم تحقق محاربه و در نتیجه عدم محاکمه متهم به عنوان محارب گردد [DOC_1][DOC_3].,2.8894782066345215,1,1,1.0,1.0,0,0.5316,0.5,0.5
9409970222601433_8,بار اثبات در مطالبه اجرت المثل ایام زوجیت به چه صورت است و چه عواملی در تعیین قصد عدم تبرع زوجه تأثیرگذارند؟,"بار اثبات در مطالبه اجرت المثل ایام زوجیت بر عهده زوج است. به طور کلی، اصل بر عدم قصد تبرع زوجه در خصوص کارهایی است که در دوران زندگی مشترک انجام داده‌است و زوجه مستحق دریافت اجرت المثل است. بنابراین، زوج باید قصد تبرع زوجه را ثابت کند [DOC_1].

عوامل تأثیرگذار در تعیین قصد عدم تبرع زوجه شامل موارد زیر است:
1. **قول زوجه:** صرف قول زوجه بر قصد عدم تبرع در دعوی مطالبه اجرت المثل کفایت می‌کند [DOC_4].
2. **عرف و سنت:** عرف حاکم بر خانواده‌های ایرانی به گونه‌ای است که زن معمولاً کارهای خانه‌داری را به صورت تبرعی انجام می‌دهد و هیچ‌گاه قصد دریافت دستمزد ندارد [DOC_4][DOC_5].
3. **قراین و امارات:** وجود قراین و امارات در زندگی مشترک، مانند محبت و حسن نیت، می‌تواند به اثبات عدم تبرع کمک کند [DOC_3][DOC_5].
4. **عدم امکان سازش:** احراز عدم امکان سازش و حصول اختلاف فی مابین زوج و زوجه نیز یکی از شرایط استحقاق و مطالبه اجرت المثل است [DOC_2].

بنابراین، در صورتی که زوجه نتواند دلایل کافی برای اثبات عدم تبرع ارائه دهد، دعوی او ممکن است رد شود [DOC_4].",5.226852178573608,0,0,0.0,0.0,0,0.3276,0.0,0.0
9309970269701629_20,ادغام محکومیت‌های قطعی متعدد در چه شرایطی امکان‌پذیر است؟,"ادغام محکومیت‌های قطعی متعدد در شرایط زیر امکان‌پذیر است:

1. پس از صدور حکم، محکوم‌علیه باید دارای محکومیت قطعی دیگری باشد.
2. موضوع احکام متعدد محکوم‌علیه باید در شمول مقررات تعدد جرم قرار گیرد.
3. اعمال مقررات تعدد جرم باید به صدور رأی واحد منجر شود و مجازات قابل اجرای موضوع رأی واحد باید از مجموع مجازات‌های علیحده موضوع احکام محکومیت‌های متعدد کمتر باشد [DOC_2].

همچنین، در مواردی که جرایم ارتکابی مشابه باشند، می‌توان با اعمال ماده 134 قانون مجازات اسلامی، مجازات اشد را اجرا کرد [DOC_1].",3.5333921909332275,1,1,0.25,0.43067655807339306,0,0.1237,0.0,0.0
9409972518501176_6,نفقه در دوران عقد چه شرایطی دارد و آیا زوج موظف به پرداخت آن است اگر زوجه در منزل پدرش ساکن باشد؟,در دوران عقد، نفقه بر عهده زوج نیست، به ویژه اگر زوجه در منزل پدرش ساکن باشد و هیچ توافقی برای پرداخت نفقه در این مدت وجود نداشته باشد. بر اساس عرف و فتاوی، در چنین شرایطی، زوج موظف به پرداخت نفقه نمی‌باشد. همچنین، در مواردی که زوجه به دلیل بیماری یا عدم تمکین از زوج در منزل مشترک زندگی نمی‌کند، این موضوع نیز بر عدم الزام زوج به پرداخت نفقه تأثیرگذار است [DOC_1].,2.878152847290039,1,1,1.0,1.0,0,0.3396,0.0,0.0
