id,question,generated_answer,latency,Recall@5,Recall@10,MRR,NDCG@10,EM,F1,ROUGE-1,ROUGE-L
9309970269500564_4,آیا اقرار ضمنی به صحت قرارداد می‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد؟,اطلاعات کافی در اسناد یافت نشد.,3.7496747970581055,0,0,0.0,0.0,0,0.0741,0.0,0.0
9309970955700304_6,چرا آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد؟,آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد، به دلیل عدم وجود جایگاه و اعتبار دادگاه‌ها و مراجع قضایی در این زمینه‌ها. این موضوع در [DOC_1] ذکر شده است.,3.5428504943847656,1,1,1.0,1.0,0,0.4533,0.0,0.0
920997022481255_3,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما چه مجازاتی دارد؟,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما به موجب قانون کار جرم بوده و قابل مجازات است.,3.172895669937134,1,1,1.0,1.0,0,0.7843,0.0,0.0
9409970221601258_23,آیا در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده می‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند؟,در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده می‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند. این موضوع در [DOC_1] ذکر شده است.,3.354871988296509,1,1,1.0,1.0,0,0.8276,0.0,0.0
9109970220301629_21,آیا تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده می‌تواند مانع از الزام فروشنده به انجام تعهدات قراردادی شود؟,بله، تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده می‌تواند مانع از الزام فروشنده به انجام تعهدات قراردادی شود. این موضوع در [DOC_4] ذکر شده است.,3.740351915359497,1,1,0.25,0.43067655807339306,0,0.7037,0.0,0.0
9409970220300172_12,چگونه می‌توان عدم وقوع بیع را در دعاوی حقوقی اثبات کرد و چه اصولی در این زمینه وجود دارد؟,برای اثبات عدم وقوع بیع در دعاوی حقوقی، باید از اصول حاکم بر موضوع استفاده کرد. این اصول شامل اصل صحت و اصل عملیه زمانی است. اصل صحت در این مورد به این معناست که زمانی که اصل عقد از طریق وجود اصالت سندی که موید بیع است، محرز می‌باشد و دلیلی برای خدشه در عقد وجود ندارد، در برابرادعای صوری بودن، اصول حاکم بر موضوع از جمله اصل صحت جریان پیدا می‌کند. اصل عملیه زمانی نیز در این مورد به این معناست که زمانی که دلیل دیگری موجود نباشد، اصل عقد از طریق وجود اصالت سندی که موید بیع است، محرز می‌باشد و دلیلی برای خدشه در عقد وجود ندارد، در برابرادعای صوری بودن، اصول حاکم بر موضوع از جمله اصل صحت جریان پیدا می‌کند.,5.246136903762817,0,0,0.0,0.0,0,0.184,0.0,0.0
9909970908700455_8,شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 چیست و چگونه رضایت شکات خصوصی بر وضعیت متهم تأثیر می‌گذارد؟,شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 به توجه به اظهارات شکات خصوصی و رضایت آنان و شخصی بودن موارد اتهامی در مکان‌ها و زمان‌های متعدد، موضوع مشمول ماده 279 قانون مجازات اسلامی 1392 می‌باشد و متهم محارب محسوب نخواهد شد. این مفهوم به عنوان یکی از شرایط تحقق محاربه در قانون مجازات اسلامی 1392 به ترتیب ذکر شده است.,4.061948537826538,1,1,1.0,1.0,0,0.4962,0.5714,0.5714
9409970222601433_8,بار اثبات در مطالبه اجرت المثل ایام زوجیت به چه صورت است و چه عواملی در تعیین قصد عدم تبرع زوجه تأثیرگذارند؟,"برای اثبات عدم تبرع زوجه در مطالبه اجرت المثل ایام زوجیت، دادگاه بدوی به دو مرحله تقسیم می‌کند:

1. **آمادگی زوجه**: زوجه باید دستور زوج به انجام کارهای مذکور ارائه دهد. این کار شامل انجام کارهایی است که زوجه خارج از وظایف خاص در ایام زوجیت در منزل شوهر انجام داده است.

2. **اثبات عدم تبرع زوجه**: زوجه باید اثبات کند که در انجام کارهای مذکور، قصد تبرع خود را ندارد. این اثبات شامل نشان دادن عدم تبرع زوجه در این کارهای است.

عواملی که در تعیین قصد عدم تبرع زوجه تأثیرگذارند عبارتند از:

- **آمادگی زوجه**: این عوامل شامل انجام کارهایی است که زوجه خارج از وظایف خاص در ایام زوجیت در منزل شوهر انجام داده است.
- **اثبات عدم تبرع زوجه**: این عوامل شامل نشان دادن عدم تبرع زوجه در انجام کارهای مذکور است.

برای اثبات عدم تبرع زوجه در مطالبه اجرت المثل ایام زوجیت، دادگاه بدوی به دو مرحله تقسیم می‌کند: آمادگی زوجه و اثبات عدم تبرع زوجه.",6.361767053604126,0,1,0.125,0.31546487678572877,0,0.3208,0.0,0.0
9309970269701629_20,ادغام محکومیت‌های قطعی متعدد در چه شرایطی امکان‌پذیر است؟,اطلاعات کافی در اسناد یافت نشد.,2.4244468212127686,0,0,0.0,0.0,0,0.125,0.0,0.0
9409972518501176_6,نفقه در دوران عقد چه شرایطی دارد و آیا زوج موظف به پرداخت آن است اگر زوجه در منزل پدرش ساکن باشد؟,نفقه در دوران عقد اگر از زمان عقد ازدواج قرار بر این باشد که زوجه تا 2 سال در منزل پدرش ساکن باشد و بعد از آن زندگی مشترک را شروع کنند، در این مدت طبق عرف و وجود فتوا، نفقه بر عهده زوج نیست مگر آنکه زوجین خلاف آن‌را توافق نمایند.,3.325296401977539,1,1,1.0,1.0,0,0.619,0.0,0.0
