config,model,query_id,latency,faithfulness,hallucination,citation_recall,answer_len
Exp1_Small_Strict,qwen2.5-vl-3b-instruct,9509970223801339_16,7.13112211227417,0.0,1,1,31
Exp1_Small_Strict,qwen2.5-vl-3b-instruct,9509970955200225_8,5.718936443328857,1.0,0,1,121
Exp1_Small_Strict,qwen2.5-vl-3b-instruct,140306390000322632_7,15.821581602096558,0.0,1,1,1866
Exp1_Small_Strict,qwen2.5-vl-3b-instruct,9509970908900341_16,5.6969921588897705,0.0,1,1,0
Exp1_Small_Strict,qwen2.5-vl-3b-instruct,9209970901800807_13,5.313406944274902,0.0,1,1,145
Exp1_Small_Strict,qwen2.5-vl-3b-instruct,9409970223400500_0,5.742162704467773,0.0,1,1,0
Exp1_Small_Strict,qwen2.5-vl-3b-instruct,9309970908400475_18,5.046640396118164,0.0,1,0,0
Exp1_Small_Strict,qwen2.5-vl-3b-instruct,9409970910500583_22,5.338685512542725,0.0,1,1,0
Exp1_Small_Strict,qwen2.5-vl-3b-instruct,9309970925002117_22,5.86479377746582,0.0,1,1,0
Exp1_Small_Strict,qwen2.5-vl-3b-instruct,9409970221601258_23,6.537321329116821,0.0,1,1,0
Exp2_Medium_Strict,gpt-4o-mini,9509970223801339_16,6.267306089401245,0.0,1,1,0
Exp2_Medium_Strict,gpt-4o-mini,9509970955200225_8,5.877311706542969,0.0,1,1,0
Exp2_Medium_Strict,gpt-4o-mini,140306390000322632_7,7.3798277378082275,0.0,1,1,506
Exp2_Medium_Strict,gpt-4o-mini,9509970908900341_16,5.609281539916992,0.0,1,1,0
Exp2_Medium_Strict,gpt-4o-mini,9209970901800807_13,5.221465349197388,1.0,0,1,262
Exp2_Medium_Strict,gpt-4o-mini,9409970223400500_0,6.286344051361084,1.0,0,1,323
Exp2_Medium_Strict,gpt-4o-mini,9309970908400475_18,5.693485736846924,1.0,0,0,477
Exp2_Medium_Strict,gpt-4o-mini,9409970910500583_22,6.034223556518555,0.0,1,1,0
