id,question,generated_answer,latency,Recall@5,Recall@10,MRR,NDCG@10,EM,F1,ROUGE-1,ROUGE-L
9309970269500564_4,آیا اقرار ضمنی به صحت قرارداد می‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد؟,اقرار ضمنی به صحت قرارداد نمی‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد. بر اساس [DOC_1]، مجعول بودن قسمتی از یک قرارداد دلیل بربطلان قسمت‌های دیگر آن نیست و در صورتی که خوانده دعوی اثبات اصالت سند، خود اقرار به امضای ذیل قرارداد نموده باشد، تنها حکم به معدوم نمودن همان قسمت مجعول صادر می‌شود و قسمت‌های دیگر قرارداد معتبر و نافذ باقی می‌مانند.,9.709628582000732,0,0,0.0,0.0,0,0.413,0.0,0.0
9309970955700304_6,چرا آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد؟,آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان عدالت اداری نمی‌باشد زیرا مطابق تبصره 2 ماده 10 قانون تشکیلات و آیین دادرسی دیوان عدالت اداری، این آراء و تصمیمات به‌طور خاص از شمول اعتراض در دیوان خارج شده‌اند. بنابراین، دعوی خواهان قابلیت استماع نداشته و نسبت به آن قرار رد صادر می‌گردد [DOC_1].,3.125732660293579,1,1,1.0,1.0,0,0.7551,0.6667,0.6667
920997022481255_3,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما چه مجازاتی دارد؟,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما به موجب قانون کار جرم بوده و قابل مجازات است [DOC_1].,3.11126971244812,1,1,1.0,1.0,0,0.7308,0.0,0.0
9409970221601258_23,آیا در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده می‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند؟,در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، وجه چک صادره بابت تضمین اقساط وام، توسط شرکت وام‌دهنده قابل مطالبه نیست [DOC_1].,3.135526657104492,1,1,1.0,1.0,0,0.8077,0.0,0.0
9109970220301629_21,آیا تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده می‌تواند مانع از الزام فروشنده به انجام تعهدات قراردادی شود؟,تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده مانع از الزام فروشنده به انجام تعهدات قراردادی نمی‌شود. به عبارت دیگر، فروشنده همچنان ملزم به انجام تعهدات قراردادی خود، از جمله اخذ مجوزها و انتقال رسمی مبیع به خریدار است، حتی اگر ملک به شخص دیگری منتقل شده باشد [DOC_4].,3.8497672080993652,1,1,0.25,0.43067655807339306,0,0.4935,0.0,0.0
9409970220300172_12,چگونه می‌توان عدم وقوع بیع را در دعاوی حقوقی اثبات کرد و چه اصولی در این زمینه وجود دارد؟,اطلاعات کافی در اسناد یافت نشد.,2.5325989723205566,0,0,0.0,0.0,0,0.0465,0.0,0.0
9909970908700455_8,شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 چیست و چگونه رضایت شکات خصوصی بر وضعیت متهم تأثیر می‌گذارد؟,شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 به این صورت است که اظهارات شکات خصوصی و رضایت آنان در این زمینه تأثیرگذار است. به عبارت دیگر، اگر شکات خصوصی رضایت داشته باشند و موارد اتهامی شخصی باشند، متهم محارب محسوب نخواهد شد [DOC_1].,3.0242040157318115,1,1,1.0,1.0,0,0.5172,0.6667,0.6667
9409970222601433_8,بار اثبات در مطالبه اجرت المثل ایام زوجیت به چه صورت است و چه عواملی در تعیین قصد عدم تبرع زوجه تأثیرگذارند؟,"بار اثبات در مطالبه اجرت المثل ایام زوجیت بر عهده زوجه است و او باید اثبات کند که قصد عدم تبرع داشته است. به عبارت دیگر، زوجه باید دلیلی ارائه دهد که نشان دهد کارهایی که انجام داده، به دستور زوج بوده و او قصد تبرع نداشته است. این دو امر شامل: 1) دستور زوج به انجام کار و 2) اثبات عدم تبرع زوجه در انجام کارهای مذکور می‌باشد [DOC_7].

عوامل تأثیرگذار در تعیین قصد عدم تبرع زوجه شامل نوع کارهایی است که زوجه در ایام زندگی مشترک انجام داده و اینکه آیا این کارها شرعاً به عهده او بوده یا خیر [DOC_4]. همچنین، عرف جامعه نیز می‌تواند در این زمینه تأثیرگذار باشد [DOC_1].",3.5869100093841553,0,1,0.125,0.31546487678572877,0,0.4606,0.0,0.0
9309970269701629_20,ادغام محکومیت‌های قطعی متعدد در چه شرایطی امکان‌پذیر است؟,اطلاعات کافی در اسناد یافت نشد.,2.418950080871582,0,0,0.0,0.0,0,0.125,0.0,0.0
9409972518501176_6,نفقه در دوران عقد چه شرایطی دارد و آیا زوج موظف به پرداخت آن است اگر زوجه در منزل پدرش ساکن باشد؟,نفقه در دوران عقد تحت شرایط خاصی قرار دارد. اگر از زمان عقد ازدواج توافق شده باشد که زوجه تا ۲ سال در منزل پدرش ساکن باشد و بعد از آن زندگی مشترک را آغاز کنند، در این مدت نفقه بر عهده زوج نیست، مگر اینکه زوجین خلاف آن را توافق نمایند [DOC_1]. بنابراین، در صورتی که زوجه در منزل پدرش ساکن باشد و توافقی در این خصوص وجود نداشته باشد، زوج موظف به پرداخت نفقه نخواهد بود.,3.6324450969696045,1,1,1.0,1.0,0,0.4364,0.0,0.0
